,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
1858,43046775,100%,100%,35.58418,-82.54963,Private room in house,Private room,3,1,1.0,2.0,99.00,96.0,2.0,1,1
1859,161709340,100%,100%,35.63063,-82.57829,Entire bungalow,Entire home/apt,5,1,2.0,2.0,134.00,98.0,1.38,1,0
1860,214505447,99%,100%,35.58756,-82.46184,Entire guest suite,Entire home/apt,2,1,1.0,1.0,109.00,100.0,3.92,1,1
1863,231543541,100%,89%,35.57789,-82.59725,Entire guest suite,Entire home/apt,2,1,1.0,1.0,70.00,98.0,3.81,1,1
1864,72193612,99%,100%,35.55487,-82.51114,Entire house,Entire home/apt,6,1,3.0,3.0,202.00,96.0,3.88,1,1
1866,96187307,99%,100%,35.54789,-82.50724,Entire house,Entire home/apt,4,2,2.0,2.0,204.00,94.0,1.48,1,1
1867,239857622,98%,100%,35.47484,-82.50477,Entire house,Entire home/apt,6,2,3.0,4.0,168.00,98.0,5.07,1,1
1868,57290621,100%,100%,35.59387,-82.62063,Entire house,Entire home/apt,8,2.5,3.0,3.0,246.00,99.0,3.04,1,1
1869,180564557,100%,100%,35.6267,-82.58205,Entire house,Entire home/apt,6,2,3.0,3.0,130.00,93.0,6.33,1,1
1870,35483438,99%,100%,35.56974,-82.5667,Entire guest suite,Entire home/apt,2,1,,1.0,110.00,100.0,9.72,1,1
1871,326751718,93%,100%,35.60528,-82.5697,Private room in bed and breakfast,Private room,2,1,1.0,1.0,228.00,100.0,0.1,0,1
1872,326751718,93%,100%,35.60528,-82.5697,Private room in bed and breakfast,Private room,2,1,1.0,1.0,276.00,100.0,0.42,0,1
1873,326751718,93%,100%,35.60528,-82.5697,Private room in bed and breakfast,Private room,2,1,1.0,1.0,239.00,100.0,0.11,0,1
1875,145503741,100%,100%,35.56954,-82.52948,Entire guest suite,Entire home/apt,2,1,1.0,1.0,88.00,98.0,8.21,1,1
1876,24048855,96%,100%,35.61791,-82.60814,Private room in house,Private room,2,1.5,1.0,1.0,95.00,98.0,1.15,1,1
