,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
0,320564,29%,88%,35.6067,-82.55563,Entire apartment,Entire home/apt,2,1,1.0,1.0,82.00,90.0,0.76,0,1
1,746673,100%,100%,35.57864,-82.59578,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,90.00,91.0,2.53,1,1
2,746673,100%,100%,35.57864,-82.59578,Private room in house,Private room,2,2.5,1.0,1.0,66.00,90.0,0.57,1,1
3,746673,100%,100%,35.57864,-82.59578,Shared room in hostel,Shared room,1,2.5,1.0,6.0,33.00,94.0,2.4,1,1
5,1029919,43%,100%,35.61856,-82.55276,Entire guest suite,Entire home/apt,4,1,1.0,2.0,134.00,97.0,0.49,0,1
6,1098412,0%,100%,35.58345,-82.59713,Private room in bungalow,Private room,1,1,1.0,1.0,48.00,97.0,1.27,1,1
7,1292070,80%,100%,35.59635,-82.50655,Private room in cabin,Private room,2,1,1.0,1.0,68.00,93.0,0.5,0,0
8,1362726,96%,100%,35.61929,-82.48114,Entire apartment,Entire home/apt,2,1,1.0,1.0,76.00,99.0,4.89,1,1
9,1501882,50%,100%,35.55537,-82.53539,Entire apartment,Entire home/apt,2,1,1.0,0.0,50.00,93.0,0.28,0,1
10,1566145,0%,100%,35.64453,-82.52586,Entire guesthouse,Entire home/apt,4,1,2.0,2.0,289.00,98.0,0.22,1,0
11,1909922,100%,100%,35.49111,-82.48438,Entire guest suite,Entire home/apt,2,1,1.0,1.0,125.00,100.0,0.43,0,0
12,1931430,100%,100%,35.57771,-82.56094,Private room in house,Private room,2,1.5,1.0,1.0,124.00,94.0,0.88,1,0
13,478398,100%,100%,35.60182,-82.56174,Entire guest suite,Entire home/apt,2,1.5,1.0,1.0,109.00,98.0,2.88,1,1
14,467421,100%,100%,35.56118,-82.57784,Entire cottage,Entire home/apt,3,1,1.0,1.0,132.00,100.0,6.47,1,1
15,12874214,99%,100%,35.60371,-82.55621,Private room in house,Private room,2,1,,1.0,91.00,98.0,3.31,1,1
16,2164379,29%,100%,35.61115,-82.54376,Entire apartment,Entire home/apt,2,1,1.0,1.0,50.00,95.0,1.21,1,1
17,3079174,100%,100%,35.60418,-82.54964,Entire apartment,Entire home/apt,2,1,1.0,2.0,149.00,97.0,2.15,1,1
18,2799158,75%,100%,35.58323,-82.59206,Entire house,Entire home/apt,4,1,2.0,2.0,125.00,91.0,0.09,0,1
19,3335271,100%,100%,35.62166,-82.55373,Entire house,Entire home/apt,4,1,1.0,1.0,89.00,94.0,8.03,1,1
20,614610,96%,100%,35.62272,-82.50285,Private room in house,Private room,2,1,1.0,1.0,42.00,92.0,1.97,1,1
21,3552264,100%,100%,35.58131,-82.55741,Private room in house,Private room,2,1,1.0,1.0,50.00,93.0,9.67,1,1
22,3736218,94%,100%,35.57468,-82.55705,Private room in bed and breakfast,Private room,2,1,1.0,2.0,189.00,93.0,0.11,1,1
23,3736218,94%,100%,35.62894,-82.51751,Entire house,Entire home/apt,12,3,4.0,7.0,305.00,97.0,0.34,1,1
25,4390477,98%,100%,35.58395,-82.56161,Entire house,Entire home/apt,4,2,2.0,2.0,201.00,100.0,4.05,1,0
27,3736218,94%,100%,35.63012,-82.5183,Entire house,Entire home/apt,6,1,2.0,4.0,191.00,96.0,1.19,1,1
28,4632589,59%,83%,35.58617,-82.50657,Private room in house,Private room,2,1,1.0,1.0,55.00,93.0,1.4,0,1
29,4664726,96%,100%,35.56893,-82.59475,Entire guest suite,Entire home/apt,2,1,,1.0,98.00,97.0,7.52,1,0
30,4455863,100%,100%,35.60321,-82.5961,Entire house,Entire home/apt,4,1,2.0,2.0,156.00,96.0,0.15,1,1
31,5100332,98%,100%,35.57312,-82.59092,Private room in house,Private room,2,1,1.0,1.0,68.00,99.0,5.34,1,0
32,5107042,74%,100%,35.6117,-82.57668,Entire house,Entire home/apt,6,1.5,3.0,3.0,257.00,93.0,1.27,1,0
33,5306734,100%,100%,35.605,-82.57262,Entire house,Entire home/apt,4,1,2.0,2.0,150.00,98.0,1.67,1,1
35,4302936,50%,100%,35.6157,-82.55594,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,130.00,99.0,0.76,0,1
36,5452427,89%,100%,35.56922,-82.64731,Entire house,Entire home/apt,6,1,2.0,2.0,175.00,98.0,0.9,1,1
37,4143638,100%,100%,35.55144,-82.49132,Tiny house,Entire home/apt,4,1.5,1.0,1.0,100.00,100.0,2.2,1,1
38,4834939,98%,100%,35.6461,-82.51605,Entire cottage,Entire home/apt,4,1,1.0,2.0,151.00,100.0,5.28,1,1
39,6187751,55%,100%,35.57381,-82.59377,Private room in bungalow,Private room,2,1,1.0,1.0,75.00,98.0,2.9,1,1
40,6618494,87%,90%,35.59942,-82.56189,Entire apartment,Entire home/apt,2,1,1.0,1.0,88.00,96.0,2.77,0,1
41,1286364,67%,100%,35.60622,-82.56569,Private room in house,Private room,5,1.5,2.0,2.0,95.00,100.0,3.28,1,1
42,614610,96%,100%,35.62277,-82.50215,Entire guest suite,Entire home/apt,2,1,,0.0,57.00,93.0,1.09,1,1
43,7130739,43%,100%,35.58247,-82.49987,Entire apartment,Entire home/apt,3,1,1.0,1.0,84.00,95.0,0.86,1,1
44,7193579,100%,100%,35.57827,-82.58891,Private room in townhouse,Private room,2,1.5,1.0,1.0,50.00,96.0,7.13,1,1
45,7523601,94%,100%,35.46158,-82.53984,Private room in house,Private room,2,1,1.0,1.0,80.00,100.0,1.05,1,0
47,1566145,0%,100%,35.64455,-82.52651,Entire house,Entire home/apt,5,1.5,3.0,3.0,169.00,100.0,0.27,1,0
48,8316714,0%,50%,35.57279,-82.60014,Private room in house,Private room,2,Private,1.0,,85.00,100.0,0.06,0,1
49,8348149,0%,100%,35.61156,-82.55237,Private room in house,Private room,2,1,1.0,1.0,70.00,98.0,0.42,0,1
50,8345942,78%,100%,35.57357,-82.53846,Entire guesthouse,Entire home/apt,2,1,,1.0,85.00,99.0,1.66,1,1
51,3736218,94%,100%,35.57478,-82.55719,Private room in bed and breakfast,Private room,2,1,1.0,1.0,149.00,95.0,0.06,1,1
52,6618494,87%,90%,35.60603,-82.55362,Entire apartment,Entire home/apt,2,1,1.0,0.0,79.00,94.0,2.32,0,1
53,5601328,100%,100%,35.60823,-82.56212,Private room in house,Private room,2,1,1.0,1.0,81.00,99.0,2.4,1,0
54,4117051,94%,100%,35.60792,-82.48789,Entire house,Entire home/apt,10,2.5,3.0,6.0,311.00,100.0,1.37,1,0
55,320564,29%,88%,35.60644,-82.55594,Entire house,Entire home/apt,6,2,3.0,3.0,260.00,93.0,0.62,0,1
56,12874214,99%,100%,35.60368,-82.55647,Entire apartment,Entire home/apt,2,1,1.0,1.0,64.00,96.0,0.62,1,1
57,5564999,88%,100%,35.58713,-82.57521,Entire guest suite,Entire home/apt,2,1,1.0,1.0,96.00,99.0,3.73,1,1
58,7625694,86%,100%,35.59224,-82.5512,Private room in apartment,Private room,2,2,1.0,1.0,92.00,95.0,4.89,1,1
59,9617701,71%,75%,35.64752,-82.5309,Entire house,Entire home/apt,6,2,2.0,2.0,250.00,99.0,1.04,1,0
61,8533528,96%,100%,35.63647,-82.54949,Entire house,Entire home/apt,2,1,1.0,2.0,115.00,99.0,3.55,1,1
62,3383961,95%,100%,35.58601,-82.55628,Entire house,Entire home/apt,7,2,2.0,3.0,165.00,99.0,3.79,1,0
63,11100294,95%,100%,35.56778,-82.58778,Entire house,Entire home/apt,2,1,1.0,1.0,48.00,98.0,2.44,0,0
64,1994122,99%,100%,35.60722,-82.53155,Private room in house,Private room,2,1,1.0,1.0,40.00,99.0,2.92,1,1
65,11297481,99%,100%,35.61054,-82.55334,Entire house,Entire home/apt,2,1,1.0,1.0,86.00,98.0,2.64,1,1
66,11336944,99%,93%,35.58225,-82.55814,Entire guest suite,Entire home/apt,2,1,1.0,1.0,92.00,97.0,4.06,1,1
67,546222,46%,100%,35.56893,-82.56834,Private room in bungalow,Private room,2,1,1.0,1.0,65.00,95.0,0.4,1,1
69,7535860,95%,100%,35.60403,-82.56101,Private room in house,Private room,2,1,1.0,1.0,84.00,97.0,8.68,1,1
70,2307713,100%,100%,35.59541,-82.55329,Entire loft,Entire home/apt,4,1,1.0,1.0,187.00,99.0,5.71,1,1
71,7535860,95%,100%,35.60048,-82.55759,Private room in house,Private room,2,1,1.0,1.0,90.00,98.0,9.49,1,1
72,12430753,100%,100%,35.59171,-82.51076,Entire house,Entire home/apt,2,1,1.0,1.0,81.00,98.0,2.51,1,1
73,10240937,100%,100%,35.57943,-82.58682,Entire apartment,Entire home/apt,4,1,2.0,2.0,129.00,98.0,2.76,1,1
74,8035294,100%,100%,35.58939,-82.56782,Entire house,Entire home/apt,4,1.5,2.0,2.0,115.00,97.0,1.98,1,1
76,9385592,70%,75%,35.61582,-82.48318,Entire house,Entire home/apt,8,2.5,4.0,5.0,562.00,91.0,0.45,1,1
77,13238922,94%,100%,35.60606,-82.54351,Entire apartment,Entire home/apt,2,1,1.0,2.0,79.00,96.0,1.05,1,1
78,11297481,99%,100%,35.61231,-82.55362,Entire house,Entire home/apt,2,1,1.0,1.0,85.00,98.0,2.27,1,1
79,14937363,99%,100%,35.58693,-82.50327,Entire apartment,Entire home/apt,4,1,1.0,2.0,125.00,98.0,3.43,1,1
80,15056995,0%,100%,35.59595,-82.63034,Entire bungalow,Entire home/apt,5,1,2.0,2.0,129.00,98.0,2.64,1,1
81,12874214,99%,100%,35.60329,-82.55617,Entire guest suite,Entire home/apt,2,1,1.0,1.0,91.00,98.0,5.68,1,1
82,8035294,100%,100%,35.59215,-82.5664,Entire house,Entire home/apt,2,1,1.0,1.0,55.00,96.0,2.15,1,1
83,15694798,100%,100%,35.6241,-82.53003,Entire bungalow,Entire home/apt,4,1,2.0,2.0,141.00,97.0,3.54,1,1
84,15694798,100%,100%,35.59519,-82.63967,Entire cabin,Entire home/apt,6,1,3.0,3.0,211.00,96.0,4.17,1,1
85,15694798,100%,100%,35.62352,-82.52959,Entire house,Entire home/apt,8,2,3.0,3.0,214.00,97.0,3.66,1,1
86,16296123,99%,100%,35.49069,-82.51348,Private room in house,Private room,2,1,1.0,1.0,46.00,94.0,7.85,1,1
88,16412724,71%,100%,35.6018,-82.54328,Room in boutique hotel,Hotel room,2,1,1.0,1.0,199.00,98.0,0.52,1,1
89,167473,75%,100%,35.58751,-82.63689,Entire guest suite,Entire home/apt,2,1,1.0,2.0,80.00,96.0,1.72,1,0
90,16296123,99%,100%,35.49099,-82.51287,Private room in house,Private room,3,1,1.0,1.0,40.00,95.0,10.42,1,1
91,12087030,100%,100%,35.58215,-82.5475,Entire house,Entire home/apt,4,2,2.0,2.0,142.00,99.0,3.02,1,1
92,17173574,83%,100%,35.61206,-82.5441,Entire cabin,Entire home/apt,3,1,1.0,2.0,75.00,100.0,0.17,0,1
93,6619953,0%,100%,35.59006,-82.50414,Entire house,Entire home/apt,4,1,2.0,2.0,90.00,93.0,0.91,0,0
95,4846203,40%,100%,35.58012,-82.60711,Entire guesthouse,Entire home/apt,2,1,,1.0,50.00,95.0,2.15,0,0
96,17767321,100%,100%,35.60233,-82.56226,Entire guesthouse,Entire home/apt,2,1,,1.0,161.00,100.0,3.25,1,1
97,653292,89%,100%,35.57729,-82.60579,Private room in cottage,Private room,2,1,1.0,0.0,55.00,99.0,1.64,1,1
98,17974144,100%,100%,35.63273,-82.5769,Entire bungalow,Entire home/apt,4,1,2.0,2.0,89.00,95.0,3.21,0,1
99,18089084,100%,100%,35.54661,-82.4924,Entire cabin,Entire home/apt,2,1,1.0,1.0,115.00,99.0,2.61,1,1
100,18450336,95%,100%,35.60815,-82.56361,Entire apartment,Entire home/apt,6,1,1.0,3.0,96.00,98.0,5.26,1,1
101,11336944,99%,93%,35.60961,-82.56742,Entire house,Entire home/apt,4,1,1.0,2.0,131.00,94.0,0.61,1,1
102,2392127,79%,100%,35.57965,-82.58172,Entire guest suite,Entire home/apt,4,1,1.0,1.0,123.00,92.0,4.0,0,1
103,9385592,70%,75%,35.63595,-82.6494,Entire house,Entire home/apt,5,1.5,2.0,5.0,506.00,88.0,0.87,1,1
104,19697970,100%,100%,35.61309,-82.59688,Entire cabin,Entire home/apt,6,2,3.0,3.0,265.00,98.0,2.04,1,1
105,19977236,100%,100%,35.59157,-82.56673,Entire guest suite,Entire home/apt,3,1,1.0,1.0,124.00,96.0,3.27,1,1
106,1994122,99%,100%,35.61288,-82.52512,Private room in house,Private room,2,1.5,1.0,1.0,100.00,99.0,6.5,1,1
107,1482216,91%,100%,35.5989,-82.59319,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,101.00,92.0,0.88,1,1
108,20447538,100%,95%,35.61053,-82.55582,Entire apartment,Entire home/apt,3,1,,1.0,75.00,95.0,4.83,1,1
109,11584674,98%,100%,35.62881,-82.57323,Entire apartment,Entire home/apt,3,1,1.0,1.0,110.00,98.0,2.11,1,1
110,8260778,100%,100%,35.57489,-82.57172,Entire house,Entire home/apt,12,3,5.0,9.0,321.00,94.0,1.91,1,1
111,1676385,77%,100%,35.58006,-82.58663,Private room in house,Private room,2,1,1.0,1.0,55.00,98.0,1.83,1,0
112,20973612,99%,100%,35.65451,-82.54203,Entire cottage,Entire home/apt,2,1,1.0,1.0,280.00,100.0,2.45,1,0
113,3221035,99%,100%,35.62284,-82.60681,Entire cabin,Entire home/apt,5,1,2.0,3.0,50.00,94.0,4.43,1,0
116,20973612,99%,100%,35.65384,-82.54235,Entire cottage,Entire home/apt,2,1,1.0,1.0,240.00,100.0,0.96,1,0
117,352405,94%,100%,35.54616,-82.51704,Entire house,Entire home/apt,6,1,3.0,3.0,81.00,97.0,2.91,1,1
118,637074,84%,100%,35.58668,-82.50199,Private room in house,Private room,2,1,,1.0,54.00,97.0,0.38,1,1
119,637074,84%,100%,35.58668,-82.50199,Private room in house,Private room,2,1,1.0,0.0,58.00,95.0,0.63,1,1
120,22813406,92%,100%,35.63595,-82.53366,Entire house,Entire home/apt,4,1,1.0,2.0,62.00,97.0,2.97,1,1
121,20447538,100%,95%,35.61244,-82.55724,Entire apartment,Entire home/apt,4,1,1.0,1.0,79.00,97.0,3.2,1,1
122,5656896,97%,100%,35.62273,-82.56215,Entire guest suite,Entire home/apt,4,1,1.0,2.0,47.00,95.0,5.29,1,1
123,17363326,100%,100%,35.59191,-82.54488,Entire house,Entire home/apt,3,1,2.0,2.0,200.00,96.0,0.92,0,0
125,17167852,100%,100%,35.60619,-82.54947,Entire house,Entire home/apt,2,2.5,2.0,2.0,219.00,100.0,0.25,1,1
126,16339042,100%,100%,35.58712,-82.49266,Entire cabin,Entire home/apt,2,1,1.0,1.0,68.00,99.0,2.01,1,1
127,3441402,99%,100%,35.57339,-82.5734,Entire apartment,Entire home/apt,2,1,1.0,1.0,95.00,99.0,6.05,1,1
128,24783818,100%,100%,35.60544,-82.46988,Private room in house,Private room,4,1,2.0,2.0,115.00,100.0,2.63,1,1
129,24938934,100%,100%,35.4456,-82.46756,Entire cabin,Entire home/apt,8,3,3.0,6.0,257.00,99.0,1.63,1,1
130,14485502,93%,100%,35.57923,-82.57162,Entire loft,Entire home/apt,2,1,,1.0,97.00,99.0,2.48,1,1
131,5035186,100%,100%,35.57424,-82.53288,Entire apartment,Entire home/apt,4,1,1.0,2.0,95.00,99.0,6.87,1,1
132,25749896,85%,100%,35.62464,-82.52114,Entire cabin,Entire home/apt,6,2,3.0,4.0,243.00,96.0,2.36,1,1
133,21362898,92%,100%,35.58072,-82.59573,Entire guest suite,Entire home/apt,5,1,2.0,3.0,106.00,99.0,6.35,1,1
134,6074062,98%,98%,35.59623,-82.55357,Entire apartment,Entire home/apt,2,1,,1.0,225.00,98.0,6.59,1,1
135,4117051,94%,100%,35.60858,-82.48867,Entire house,Entire home/apt,10,2.5,3.0,6.0,325.00,100.0,1.4,1,0
136,16596642,63%,100%,35.60065,-82.55765,Entire house,Entire home/apt,4,1.5,2.0,4.0,180.00,97.0,4.24,1,0
137,27580922,83%,100%,35.56642,-82.54681,Entire guesthouse,Entire home/apt,5,1,1.0,3.0,250.00,99.0,1.15,0,1
138,27654072,0%,50%,35.46994,-82.55996,Entire apartment,Entire home/apt,2,1,1.0,1.0,49.00,100.0,0.01,0,1
139,28018322,100%,100%,35.54798,-82.49669,Entire guest suite,Entire home/apt,2,1,1.0,1.0,94.00,99.0,3.34,1,1
140,28342264,100%,100%,35.5751,-82.59686,Entire bungalow,Entire home/apt,6,1,2.0,3.0,177.00,98.0,2.88,1,1
141,28424329,56%,100%,35.61937,-82.55071,Private room in house,Private room,4,3.5,2.0,2.0,475.00,99.0,1.71,1,1
142,29536562,68%,86%,35.58304,-82.53813,Entire cottage,Entire home/apt,4,1,2.0,2.0,100.00,98.0,3.65,0,1
143,2392127,79%,100%,35.58265,-82.58182,Entire guest suite,Entire home/apt,4,1,1.0,2.0,121.00,91.0,2.49,0,1
144,30315956,100%,100%,35.60193,-82.56342,Entire house,Entire home/apt,12,3,2.0,6.0,250.00,98.0,1.34,0,1
145,30377862,100%,100%,35.44968,-82.5197,Entire apartment,Entire home/apt,6,1,1.0,4.0,72.00,98.0,4.38,1,1
146,5664205,100%,100%,35.59712,-82.57044,Entire guest suite,Entire home/apt,2,1,1.0,1.0,67.00,93.0,2.59,0,1
147,21353533,93%,100%,35.54909,-82.48628,Entire house,Entire home/apt,8,3,4.0,4.0,263.00,98.0,1.77,1,1
148,30728739,50%,100%,35.60952,-82.55374,Private room in bungalow,Private room,4,1,2.0,2.0,60.00,94.0,2.66,1,1
150,31174094,95%,100%,35.49363,-82.51539,Private room in house,Private room,3,1.5,1.0,2.0,51.00,92.0,1.3,0,1
151,1826173,100%,100%,35.57517,-82.57827,Entire loft,Entire home/apt,2,1,1.0,1.0,104.00,99.0,9.83,1,1
152,31430181,58%,100%,35.62716,-82.50869,Entire guest suite,Entire home/apt,3,1,1.0,1.0,154.00,99.0,1.72,1,1
153,3572350,84%,75%,35.42342,-82.47322,Entire house,Entire home/apt,4,1,1.0,2.0,101.00,95.0,1.25,0,0
154,7625694,86%,100%,35.59058,-82.55014,Private room in apartment,Private room,1,2,1.0,1.0,52.00,96.0,3.3,1,1
155,32013434,76%,100%,35.55061,-82.5348,Private room in bungalow,Private room,2,1,1.0,1.0,50.00,98.0,3.93,1,1
156,32054468,100%,100%,35.59437,-82.56054,Entire apartment,Entire home/apt,4,1,2.0,2.0,189.00,94.0,1.01,1,1
157,32065101,86%,100%,35.56829,-82.61405,Entire apartment,Entire home/apt,2,1,,1.0,59.00,98.0,1.52,1,1
158,32297877,100%,100%,35.57819,-82.47713,Entire cottage,Entire home/apt,4,1,3.0,3.0,93.00,98.0,1.01,1,1
160,21539203,100%,100%,35.59373,-82.53663,Entire apartment,Entire home/apt,2,1,,1.0,106.00,97.0,6.65,1,1
161,33151095,100%,100%,35.51689,-82.48087,Entire guest suite,Entire home/apt,4,1,1.0,2.0,65.00,97.0,2.98,0,1
162,32221473,100%,100%,35.56746,-82.52602,Entire cottage,Entire home/apt,4,1,2.0,2.0,65.00,100.0,0.23,1,1
163,7625694,86%,100%,35.59085,-82.5497,Private room in apartment,Private room,2,2,1.0,1.0,92.00,96.0,4.23,1,1
164,16023445,81%,90%,35.6117,-82.55088,Entire apartment,Entire home/apt,2,1,1.0,2.0,92.00,97.0,2.64,0,1
165,1884805,100%,100%,35.60002,-82.5578,Private room in house,Private room,2,1,1.0,1.0,92.00,98.0,6.82,1,1
166,26946813,100%,100%,35.63373,-82.49752,Entire house,Entire home/apt,2,1,1.0,1.0,295.00,98.0,0.46,1,1
167,8035294,100%,100%,35.59033,-82.54559,Entire apartment,Entire home/apt,4,1.5,2.0,2.0,85.00,94.0,2.59,1,1
168,35157681,87%,100%,35.6174,-82.60122,Entire house,Entire home/apt,4,1.5,2.0,2.0,136.00,96.0,1.93,1,1
169,20940902,100%,100%,35.55554,-82.4759,Entire house,Entire home/apt,8,2.5,3.0,4.0,250.00,98.0,3.14,1,1
170,35390402,96%,100%,35.44831,-82.50911,Entire apartment,Entire home/apt,3,1,1.0,1.0,95.00,99.0,1.68,1,1
171,746673,100%,100%,35.57895,-82.59566,Shared room in hostel,Shared room,1,2.5,1.0,1.0,33.00,94.0,1.27,1,1
172,746673,100%,100%,35.57895,-82.59566,Private room in house,Private room,2,2.5,1.0,1.0,69.00,96.0,0.74,1,1
174,31436003,62%,100%,35.5808,-82.59533,Private room in house,Private room,2,1,1.0,1.0,53.00,94.0,1.93,0,1
175,7625694,86%,100%,35.59132,-82.55101,Private room in apartment,Private room,2,2,1.0,1.0,92.00,96.0,4.32,1,1
176,35778919,97%,100%,35.58775,-82.49074,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,95.00,99.0,1.35,1,1
177,11298793,96%,100%,35.59171,-82.59721,Entire guest suite,Entire home/apt,2,1,1.0,0.0,82.00,99.0,4.64,1,1
178,6676667,82%,100%,35.57816,-82.60324,Private room in bungalow,Private room,2,1,1.0,1.0,125.00,98.0,1.41,1,1
179,14480896,100%,100%,35.48087,-82.506,Entire cabin,Entire home/apt,6,2,3.0,4.0,300.00,100.0,0.7,1,1
180,37039251,96%,90%,35.61641,-82.6422,Entire apartment,Entire home/apt,2,1,1.0,1.0,58.00,99.0,0.89,1,0
181,481489,91%,100%,35.63204,-82.58511,Entire place,Entire home/apt,2,1,1.0,1.0,114.00,97.0,1.9,1,1
182,37737144,74%,92%,35.47536,-82.50085,Private room in house,Private room,4,1,2.0,2.0,95.00,96.0,2.18,0,1
183,23092470,100%,100%,35.5914,-82.55445,Entire apartment,Entire home/apt,4,1,,2.0,117.00,98.0,8.32,1,1
184,39527624,100%,100%,35.58142,-82.58783,Entire apartment,Entire home/apt,2,1,1.0,1.0,94.00,98.0,4.57,1,1
186,37942362,89%,100%,35.57223,-82.59993,Private room in house,Private room,3,1,1.0,1.0,84.00,98.0,2.57,1,1
187,37087591,100%,100%,35.63071,-82.57153,Private room in house,Private room,2,1,1.0,1.0,47.00,97.0,1.31,1,1
188,40029182,100%,100%,35.64462,-82.48023,Entire house,Entire home/apt,3,1,1.0,2.0,91.00,97.0,4.21,1,1
190,40234911,99%,100%,35.57907,-82.59423,Entire apartment,Entire home/apt,4,1,1.0,1.0,92.00,94.0,4.29,0,1
191,40300316,100%,100%,35.57531,-82.64233,Entire house,Entire home/apt,7,2,3.0,3.0,191.00,96.0,2.68,1,1
192,40309465,96%,100%,35.57786,-82.59364,Entire bungalow,Entire home/apt,2,1,1.0,1.0,228.00,98.0,2.08,1,1
193,34822762,100%,100%,35.61405,-82.5266,Entire guesthouse,Entire home/apt,2,1,1.0,0.0,84.00,97.0,5.05,1,1
194,2707302,100%,100%,35.53939,-82.52717,Entire guest suite,Entire home/apt,2,1,1.0,1.0,88.00,99.0,3.33,1,1
195,481489,91%,100%,35.63038,-82.58295,Entire apartment,Entire home/apt,1,1,1.0,1.0,93.00,98.0,1.38,1,1
196,15691039,100%,100%,35.56465,-82.53233,Entire apartment,Entire home/apt,3,1,1.0,1.0,99.00,96.0,3.81,0,1
197,12516488,29%,100%,35.57646,-82.53607,Entire townhouse,Entire home/apt,2,1,1.0,1.0,50.00,93.0,0.09,0,1
198,12516488,29%,100%,35.57427,-82.53703,Entire townhouse,Entire home/apt,2,1.5,2.0,2.0,60.00,95.0,0.06,0,1
199,41909545,100%,100%,35.60129,-82.5556,Entire apartment,Entire home/apt,2,1,1.0,1.0,97.00,98.0,7.79,1,1
201,31173521,81%,100%,35.57929,-82.53833,Entire house,Entire home/apt,4,1.5,2.0,2.0,50.00,100.0,0.2,1,1
202,722034,99%,100%,35.49902,-82.61658,Entire house,Entire home/apt,8,2.5,4.0,7.0,192.00,96.0,0.65,1,1
203,42522378,97%,100%,35.59431,-82.60431,Private room in house,Private room,2,1,1.0,1.0,72.00,96.0,1.99,1,0
204,37087591,100%,100%,35.63113,-82.57205,Private room in house,Private room,2,1,1.0,1.0,45.00,94.0,1.93,1,1
205,637074,84%,100%,35.5859,-82.50314,Private room in house,Private room,1,1,1.0,0.0,55.00,100.0,0.17,1,1
206,32163305,98%,100%,35.60637,-82.54732,Entire bungalow,Entire home/apt,6,1,2.0,2.0,109.00,94.0,0.45,1,0
207,36614639,86%,100%,35.60002,-82.50277,Entire guest suite,Entire home/apt,3,1,1.0,1.0,89.00,100.0,4.34,1,1
208,41727732,78%,100%,35.4904,-82.51177,Entire chalet,Entire home/apt,5,2,2.0,2.0,218.00,99.0,0.31,1,1
209,6077075,67%,100%,35.57533,-82.59728,Private room in bungalow,Private room,2,1,1.0,1.0,99.00,99.0,0.66,0,1
210,43536753,98%,100%,35.54128,-82.59905,Entire house,Entire home/apt,6,2.5,3.0,3.0,199.00,99.0,4.69,1,1
211,1686503,85%,100%,35.57594,-82.54484,Entire house,Entire home/apt,8,2,4.0,4.0,300.00,95.0,0.44,1,1
212,1292070,80%,100%,35.59734,-82.50869,Entire guest suite,Entire home/apt,2,1,,1.0,64.00,100.0,0.04,0,0
213,23163164,93%,100%,35.57634,-82.59944,Entire apartment,Entire home/apt,4,1,1.0,1.0,86.00,97.0,6.1,1,1
214,40822999,0%,60%,35.49877,-82.4772,Entire apartment,Entire home/apt,5,1,1.0,2.0,93.00,98.0,0.93,0,1
215,18376463,100%,100%,35.61148,-82.55223,Entire guesthouse,Entire home/apt,2,1,1.0,2.0,109.00,99.0,1.59,1,1
217,45217605,55%,100%,35.44149,-82.52298,Room in hotel,Private room,2,1,1.0,2.0,371.00,97.0,0.87,0,0
218,42676282,100%,100%,35.59497,-82.55425,Entire condominium,Entire home/apt,4,1,,1.0,207.00,99.0,4.47,0,1
219,45522770,100%,100%,35.59874,-82.56017,Entire apartment,Entire home/apt,2,1,1.0,1.0,250.00,100.0,1.73,1,1
220,45552832,100%,88%,35.57233,-82.57449,Entire apartment,Entire home/apt,6,1,2.0,3.0,70.00,100.0,3.63,1,1
221,45774017,0%,100%,35.55258,-82.50942,Entire apartment,Entire home/apt,5,1,2.0,2.0,120.00,98.0,1.97,1,1
223,11246730,100%,100%,35.60654,-82.54343,Entire apartment,Entire home/apt,4,1,2.0,1.0,80.00,96.0,7.07,1,1
224,34263964,100%,100%,35.60612,-82.55218,Entire apartment,Entire home/apt,5,1,2.0,3.0,168.00,96.0,6.51,1,1
225,47271331,100%,100%,35.59957,-82.49938,Private room in house,Private room,2,1,1.0,1.0,115.00,99.0,4.37,1,1
227,1675743,99%,100%,35.58533,-82.5512,Private room in house,Private room,2,1,1.0,1.0,59.00,94.0,1.64,1,1
228,6618494,87%,90%,35.60187,-82.55415,Entire apartment,Entire home/apt,2,1,1.0,0.0,88.00,97.0,2.55,0,1
230,49114420,100%,100%,35.57493,-82.59199,Entire house,Entire home/apt,5,1,2.0,2.0,93.00,97.0,3.22,1,1
231,7835259,0%,100%,35.60576,-82.54367,Entire bungalow,Entire home/apt,6,2,2.0,2.0,180.00,100.0,0.07,0,1
232,29950328,98%,100%,35.64403,-82.47455,Entire house,Entire home/apt,9,3.5,4.0,5.0,280.00,97.0,3.12,1,1
233,50478143,73%,100%,35.59541,-82.55304,Entire condominium,Entire home/apt,4,1,1.0,2.0,215.00,99.0,1.02,1,1
235,51104544,87%,100%,35.61599,-82.48873,Yurt,Entire home/apt,4,1,,2.0,124.00,95.0,2.75,1,0
236,13713928,50%,60%,35.59891,-82.54969,Entire house,Entire home/apt,2,1,1.0,1.0,85.00,100.0,0.93,0,1
237,29820165,25%,100%,35.59999,-82.51583,Entire apartment,Entire home/apt,2,1,1.0,0.0,60.00,93.0,0.25,0,1
238,6278782,95%,100%,35.65258,-82.54259,Private room in house,Private room,2,1,1.0,3.0,112.00,98.0,2.47,1,1
